# Rank	Rmax	Rpeak
348	59114	107480
349	58721	112090.08
350	58705.6	112800
351	58675.32	67908.35
352	58335	66101
353	58318	111114.72
354	58310	79053
355	58017	111951.36
356	57800	63078.4
357	57628	111513.6
358	57614	110315.52
359	57554.5	74055.7
360	57410	67542
361	57358	109804.8
362	56903	108324
363	56903	108324
364	56903	108324
365	56790.8	64350.72
366	56730	62563
367	56650	77004.8
368	56520	62259.2
369	56414.8	108403.2
370	56260	117012
371	56260	117012
372	56250	71097
373	56124.99	100795.2
374	56124.99	100795.2
375	56124.99	100795.2
376	55977	63429
377	55957	71270.4
378	55944.75	105551.52
379	55804.7	106323.8
380	55804.7	106323.8
381	55755	99742.72
382	55755	99742.72
383	55727	67738
384	55727	67738
385	55727	67738
386	55727	67738
387	55722.1	106549
388	55656	62563
389	55656	62563
390	55656	62563
391	55592	106752
392	55591	105972.24
393	55584	115606.08
394	55584	115606.08
395	55573.89	61227.14
396	55429	105600
397	55366.3	106057.6
398	55208.2	105527.5
399	55208.2	105527.5
400	55208.2	105527.5
401	55122	98609.28
402	55122	98609.28
403	55110	70387.2
404	55075.1	105715.2
405	55054	104917.44
406	55041.7	105409.9
407	55041.7	105409.9
408	54840.21	98487.84
409	54840.21	98487.84
410	54840.21	98487.84
411	54806	105600
412	54605.3	105436.8
413	54463	103680
414	54210	69120
415	54148.1	103628.8
416	54148.1	103628.8
417	54148.1	103628.8
418	54139	103420.8
419	54139	103420.8
420	54077	103996.16
421	54072	68886.72
422	53961	96909
423	53429	68745.6
424	53420	100867
425	53420	100867
426	53300	57907.2
427	53217	95573
428	53217	95573
429	53132	101836.8
430	53132	101836.8
431	53082.07	95330.4
432	53082.07	95330.4
433	53082.07	95330.4
434	53082.07	95330.4
435	53082.07	95330.4
436	53082.07	95330.4
437	53082.07	95330.4
438	53082.07	95330.4
439	53082.07	95330.4
440	53082.07	95330.4
441	53082.07	95330.4
442	53082.07	95330.4
443	53070	58375
444	53050	82944
445	53000	64972.8
446	52997.9	101826.6
447	52987	101122.56
448	52922.9	100994.9
449	52922.9	100994.9
450	52922.9	100994.9
451	52922.9	100994.9
452	52874.12	59912.64
453	52874.12	59912.64
454	52874.12	59912.64
455	52874.12	59912.64
456	52874.12	59912.64
457	52874.12	59912.64
458	52874.12	59912.64
459	52840	63795.2
460	52814	94480
461	52814	94480
462	52814	94480
463	52814	94480
464	52810	67379.2
465	52789.2	67795.2
466	52734.1	100276.3
467	52633	98995
468	52418	100454.4
469	52406	98952
470	52338	93994.56
471	52338	93994.56
472	52318	100742.4
473	52233	99291.84
474	52192.1	79440
475	52152	99221.52
476	51934	98739.2
477	51880	64640
478	51863.33	66176
479	51863.33	66176
480	51797.17	107730.24
481	51797.17	107730.24
482	51797.17	107730.24
483	51462	62849.02
484	51441	58982
485	51416.3	98985.6
486	51409.2	97647.5
487	51409.2	97647.5
488	51409.2	97647.5
489	51366	98304
490	51304.05	59377.15
491	51235	65257
492	51230	91646.72
493	51210	72793.6
494	51203.33	90675.2
495	51188.58	106464.48
496	51188.58	106464.48
497	51188.58	106464.48
498	51188.58	106464.48
499	51180.5	97152
500	50941.4	96383.5
