1 	17700
2 	9894
2	6450
3 	5655
3	4500
4 	4377
5 	3555
3	2702
3	2250
3	2155
6 	1893
3	1831
3	1591
3	1377
7 	1290
8 	1250
9 	1140
10 	1100
11 	1081
12 	1040
3	992
13 	986
14 	982
14 	940
15 	906
16 	894
17 	887
18 	876
3	713
3	710
19 	700
19 	700
3	675
20 	659
21 	608
3	605
3	601
22 	592
23 	581
3	567
3	562
24 	541
25 	494
26 	485
27 	473
28 	464
3	421
29 	416
30 	415
30 	407
31 	388
32 	380
33 	370
34 	370
35 	365
3	361
36 	358
37 	356
38 	354
39 	344
40 	330
40 	330
3	327
42 	322
3	315
43 	313
44 	315
45 	282
46 	273
47 	270
48 	265
49 	261
50 	257
51 	256
3	253
52 	252
3	250
3	249
53 	237
54 	234
55 	232
56 	231
57 	223
58 	220
59 	219
60 	218
61 	214
62 	212
63 	212
64 	210
65 	207
66 	204
67 	204
68 	200
69 	200
70 	198
3	197
3	191
69 	191
71 	189
72 	184
73 	183
74 	182
75 	173
76 	172
3	171
76 	171
77 	170
77 	169
78 	167
79 	166
80 	165
81 	164
82 	159
82 	159
84 	155
84 	155
86 	154
87 	150
87 	150
3	149
89 	149
90 	146
91 	145
92 	143
93 	141
94 	139
94 	139
96 	135
96 	135
98 	133
98 	133
100 	132
101 	131
3	130
102 	128
3	127
104 	124
105 	122
105 	122
105 	122
108 	121
108 	121
110 	119
111 	118
112 	117
112 	117
114 	115
115 	114
115 	114
115 	114
115 	114
119 	110
119 	110
119 	110
122 	108
123 	105
123 	105
123 	105
126 	104
127 	101
128 	100
128 	100
