# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.29,	0.06,	7.56822,	0.0392201,	-0.362118,	0.00279454,	0.188925
0.05,	0.3,	0.06,	2.27476,	0.013587,	-0.225184,	0.225184,	3.33619e-07
0.05,	0.31,	0.06,	2.00709,	0.0119871,	-0.225161,	0.225161,	9.60411e-08
0.05,	0.32,	0.06,	8,	0.05,	-0.32,	0.06,	0.696422
0.05,	0.33,	0.06,	7.36328,	0.0710275,	-0.192679,	0.0108352,	0.196437
0.05,	0.34,	0.06,	7.7566,	0.0817495,	-0.132346,	0.00783733,	0.166182
0.05,	0.35,	0.06,	2.00014,	0.0104334,	-0.397091,	0.0913566,	0.0270659
0.05,	0.36,	0.06,	4.47916,	0.0243292,	-0.383834,	0.107867,	0.0467941
0.05,	0.37,	0.06,	8.20313,	0.0592496,	-0.227087,	0.227087,	3.04597e-08
0.05,	0.38,	0.06,	8,	0.05,	-0.38,	0.06,	0.534583
0.05,	0.39,	0.06,	8,	0.05,	-0.39,	0.06,	0.607683
0.05,	0.4,	0.06,	8,	0.05,	-0.4,	0.06,	0.647297
0.05,	0.41,	0.06,	8.11564,	0.0991437,	-0.230779,	0.230779,	6.66738e-08
0.05,	0.42,	0.06,	8.32291,	0.0516076,	-0.426343,	0.00234877,	0.0960731
0.05,	0.43,	0.06,	9.69513,	0.0536278,	-0.457595,	0.00218548,	0.0391151
0.05,	0.44,	0.06,	8.60175,	0.0595961,	-0.399217,	0.00261424,	0.106727
0.05,	0.45,	0.06,	8,	0.05,	-0.45,	0.06,	0.751369
0.05,	0.46,	0.06,	8.65609,	0.110962,	-0.12039,	0.577534,	0.970485
0.05,	0.47,	0.06,	2.10666,	0.0251921,	-0.22544,	0.22544,	1.42598e-08
0.05,	0.48,	0.06,	9.96668,	0.123304,	-0.234001,	0.234001,	6.55531e-08
0.05,	0.49,	0.06,	8,	0.05,	-0.49,	0.06,	0.418166
