# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.09,	0.13,	0.29,	7.48686,	0.0911373,	-0.22988,	0.22988,	5.39672e-08
0.09,	0.14,	0.29,	8,	0.09,	-0.14,	0.29,	0.576665
0.09,	0.15,	0.29,	8,	0.09,	-0.15,	0.29,	0.492732
0.09,	0.16,	0.29,	7.84633,	0.0957036,	-0.230383,	0.230383,	4.67196e-07
0.09,	0.17,	0.29,	8.15726,	0.099677,	-0.230842,	0.230842,	9.93229e-08
0.09,	0.18,	0.29,	8.30387,	0.101558,	-0.231067,	0.231067,	6.82647e-08
0.09,	0.19,	0.29,	8.46276,	0.103603,	-0.231316,	0.231316,	1.20707e-08
0.09,	0.2,	0.29,	7.47529,	0.0909908,	-0.229864,	0.229864,	4.71215e-07
0.09,	0.21,	0.29,	6.58203,	0.0797607,	-0.22874,	0.228741,	4.19836e-07
0.09,	0.22,	0.29,	8.29166,	0.101401,	-0.231048,	0.231048,	4.61007e-08
0.09,	0.23,	0.29,	8.42096,	0.103065,	-0.23125,	0.23125,	2.63103e-07
0.09,	0.24,	0.29,	8.09951,	0.0989373,	-0.230755,	0.230755,	2.89832e-07
0.09,	0.25,	0.29,	8,	0.09,	-0.25,	0.29,	0.613106
0.09,	0.26,	0.29,	5.1527,	1.02375,	0.272661,	-2.74706,	0
0.09,	0.27,	0.29,	8,	0.09,	-0.27,	0.29,	0.755038
0.09,	0.28,	0.29,	8,	0.09,	-0.28,	0.29,	0.770909
0.09,	0.29,	0.29,	8,	0.09,	-0.29,	0.29,	0.764622
0.09,	0.3,	0.29,	8.01378,	0.121176,	-0.362782,	0.1886,	4.74613e-07
0.09,	0.31,	0.29,	8.04261,	0.111564,	-0.299902,	0.306186,	3.65426e-07
0.09,	0.32,	0.29,	8.12532,	0.127818,	-0.335969,	0.212586,	3.13828e-07
0.09,	0.33,	0.29,	8.06908,	0.144922,	-0.327832,	0.144174,	1.73363e-07
0.09,	0.34,	0.29,	7.99218,	0.10717,	-0.321443,	0.295594,	5.94771e-05
0.09,	0.35,	0.29,	7.57491,	0.0819985,	-0.355475,	0.325918,	1.0474e-06
0.09,	0.36,	0.29,	7.92186,	0.103662,	-0.35587,	0.263902,	5.09633e-07
0.09,	0.37,	0.29,	7.94753,	0.110901,	-0.372173,	0.213588,	1.44164e-07
0.09,	0.38,	0.29,	7.92866,	0.105049,	-0.361056,	0.252319,	1.95066e-07
0.09,	0.39,	0.29,	7.83927,	0.0980137,	-0.366091,	0.26736,	2.31272e-07
0.09,	0.4,	0.29,	7.33899,	0.0817317,	-0.443426,	0.182985,	4.43464e-06
0.09,	0.41,	0.29,	7.61719,	0.0914361,	-0.415887,	0.205888,	1.01892e-06
0.09,	0.42,	0.29,	8.13532,	0.121329,	-0.300611,	0.279717,	1.36206e-07
0.09,	0.43,	0.29,	8.14603,	0.123096,	-0.306729,	0.267994,	2.60908e-07
0.09,	0.44,	0.29,	7.6913,	0.0888074,	-0.374264,	0.284336,	4.87085e-07
0.09,	0.45,	0.29,	8,	0.09,	-0.45,	0.29,	0.714821
0.09,	0.46,	0.29,	8,	0.09,	-0.46,	0.29,	0.768624
0.09,	0.47,	0.29,	8,	0.09,	-0.47,	0.29,	0.816915
0.09,	0.48,	0.29,	8,	0.09,	-0.48,	0.29,	0.859993
0.09,	0.49,	0.29,	15.1302,	-2.64444,	-4.11852,	5.25464,	0
0.09,	0.05,	0.3,	7.71498,	0.0696846,	-0.00315074,	0.319964,	0.141811
0.09,	0.06,	0.3,	7.05692,	0.0638418,	-0.00314677,	0.317909,	0.150759
0.09,	0.07,	0.3,	8.02,	0.0727075,	-0.228114,	0.228114,	4.17859e-08
0.09,	0.08,	0.3,	8.02644,	0.0727677,	-0.228121,	0.228116,	1.99882e-06
0.09,	0.09,	0.3,	3.19026,	0.0382228,	-0.225911,	0.225911,	2.92603e-08
0.09,	0.1,	0.3,	7.7817,	0.0948805,	-0.23029,	0.23029,	4.3539e-07
0.09,	0.11,	0.3,	8,	0.09,	-0.11,	0.3,	0.634266
0.09,	0.12,	0.3,	13.2129,	-0.617969,	-2.8574,	2.48314,	0
0.09,	0.13,	0.3,	7.99047,	0.0975428,	-0.230593,	0.230593,	2.64842e-08
0.09,	0.14,	0.3,	7.854,	0.0958014,	-0.230394,	0.230394,	1.46163e-07
0.09,	0.15,	0.3,	8.36038,	0.102285,	-0.231155,	0.231155,	4.39299e-07
0.09,	0.16,	0.3,	8.47075,	0.103706,	-0.231329,	0.231329,	2.76244e-07
0.09,	0.17,	0.3,	8.49802,	0.104058,	-0.231372,	0.231372,	1.79875e-07
0.09,	0.18,	0.3,	7.886,	0.0962093,	-0.23044,	0.23044,	5.56728e-08
0.09,	0.19,	0.3,	6.98847,	0.0848512,	-0.22923,	0.22923,	9.85581e-08
0.09,	0.2,	0.3,	7.17116,	0.0871496,	-0.229462,	0.229462,	2.57962e-08
0.09,	0.21,	0.3,	9.03829,	0.111066,	-0.232272,	0.232272,	4.55856e-08
0.09,	0.22,	0.3,	8.09854,	0.0989248,	-0.230754,	0.230754,	1.0621e-08
0.09,	0.23,	0.3,	8.02573,	0.0214657,	-0.469863,	0.36249,	1.12746e-06
0.09,	0.24,	0.3,	8,	0.09,	-0.24,	0.3,	0.63362
0.09,	0.25,	0.3,	3.82551,	1.11353,	0.586794,	-2.81989,	0
0.09,	0.26,	0.3,	8,	0.09,	-0.26,	0.3,	0.764006
0.09,	0.27,	0.3,	8,	0.09,	-0.27,	0.3,	0.775869
0.09,	0.28,	0.3,	8,	0.09,	-0.28,	0.3,	0.7669
0.09,	0.29,	0.3,	7.9302,	0.106899,	-0.368601,	0.23462,	4.2984e-07
0.09,	0.3,	0.3,	8.23755,	0.136381,	-0.271158,	0.26926,	2.89946e-07
0.09,	0.31,	0.3,	8.20993,	0.133725,	-0.300978,	0.243375,	5.70337e-08
0.09,	0.32,	0.3,	8,	0.09,	-0.32,	0.3,	0.609256
0.09,	0.33,	0.3,	7.95442,	0.135537,	-0.351173,	0.129414,	5.13384e-07
0.09,	0.34,	0.3,	7.82391,	0.0865602,	-0.356432,	0.321934,	0.00503596
0.09,	0.35,	0.3,	8.18937,	0.130641,	-0.244333,	0.307761,	3.59331e-07
0.09,	0.36,	0.3,	8.10444,	0.161057,	-0.291754,	0.139466,	4.37048e-07
0.09,	0.37,	0.3,	7.9699,	0.108035,	-0.353994,	0.252866,	1.22128e-07
0.09,	0.38,	0.3,	7.23963,	0.0694103,	-0.316222,	0.394291,	1.12028e-06
0.09,	0.39,	0.3,	7.67696,	0.0906022,	-0.397252,	0.24488,	6.1174e-07
0.09,	0.4,	0.3,	7.38607,	0.0765926,	-0.415056,	0.264537,	1.99898e-06
0.09,	0.41,	0.3,	8.26158,	0.148798,	-0.281912,	0.218844,	3.69382e-07
0.09,	0.42,	0.3,	8.14274,	0.12216,	-0.297658,	0.280614,	2.52597e-07
0.09,	0.43,	0.3,	7.90114,	0.102168,	-0.264915,	0.358508,	2.13432e-07
0.09,	0.44,	0.3,	8,	0.09,	-0.44,	0.3,	0.702921
0.09,	0.45,	0.3,	8,	0.09,	-0.45,	0.3,	0.757826
0.09,	0.46,	0.3,	8,	0.09,	-0.46,	0.3,	0.807111
0.09,	0.47,	0.3,	8,	0.09,	-0.47,	0.3,	0.851107
0.09,	0.48,	0.3,	11.7623,	-1.43111,	-2.11679,	3.38712,	0
0.09,	0.49,	0.3,	8,	0.09,	-0.49,	0.3,	0.922756
0.09,	0.05,	0.31,	8.324,	0.0640656,	-0.0028286,	0.370064,	0.129402
0.09,	0.06,	0.31,	8.29794,	0.0720124,	-0.00300611,	0.334249,	0.134526
0.09,	0.07,	0.31,	7.97848,	0.0973895,	-0.230575,	0.230575,	2.01637e-07
0.09,	0.08,	0.31,	8,	0.09,	-0.08,	0.31,	0.650218
0.09,	0.09,	0.31,	8,	0.09,	-0.09,	0.31,	0.602082
0.09,	0.1,	0.31,	6.37465,	0.0771747,	-0.228504,	0.228504,	1.83804e-07
0.09,	0.11,	0.31,	6.87863,	0.0834725,	-0.229095,	0.229095,	1.74996e-07
0.09,	0.12,	0.31,	8.03458,	0.0981065,	-0.230658,	0.230658,	9.75396e-08
0.09,	0.13,	0.31,	7.95641,	0.0971077,	-0.230543,	0.230543,	2.01951e-07
0.09,	0.14,	0.31,	7.26033,	0.0882739,	-0.229578,	0.229578,	9.90489e-08
0.09,	0.15,	0.31,	7.89912,	0.0963767,	-0.230459,	0.230459,	2.51089e-07
0.09,	0.16,	0.31,	8.96628,	0.110127,	-0.232148,	0.232148,	2.63472e-08
0.09,	0.17,	0.31,	8.73916,	0.107176,	-0.231765,	0.231765,	4.95594e-08
0.09,	0.18,	0.31,	6.79707,	0.0824501,	-0.228995,	0.228995,	1.86589e-07
0.09,	0.19,	0.31,	6.97205,	0.084645,	-0.22921,	0.22921,	9.43173e-08
0.09,	0.2,	0.31,	7.99591,	0.0976122,	-0.230601,	0.230601,	1.89625e-07
0.09,	0.21,	0.31,	7.43892,	0.0192489,	-0.387528,	0.455155,	6.95947e-05
0.09,	0.22,	0.31,	8,	0.09,	-0.22,	0.31,	0.557498
0.09,	0.23,	0.31,	8,	0.09,	-0.23,	0.31,	0.661739
0.09,	0.24,	0.31,	6.06856,	0.597812,	0.297332,	-1.12707,	0
0.09,	0.25,	0.31,	8,	0.09,	-0.25,	0.31,	0.774365
0.09,	0.26,	0.31,	8,	0.09,	-0.26,	0.31,	0.780432
0.09,	0.27,	0.31,	8,	0.09,	-0.27,	0.31,	0.767778
0.09,	0.28,	0.31,	8.18548,	0.13164,	-0.313501,	0.233471,	6.15145e-07
0.09,	0.29,	0.31,	8.51106,	0.162177,	-0.240906,	0.240907,	3.64001e-07
0.09,	0.3,	0.31,	8.28948,	0.15337,	-0.24912,	0.242919,	3.49543e-07
0.09,	0.31,	0.31,	8,	0.09,	-0.31,	0.31,	0.607711
0.09,	0.32,	0.31,	8.15517,	0.15189,	-0.306516,	0.161136,	2.21268e-07
0.09,	0.33,	0.31,	7.86598,	0.0972453,	-0.330237,	0.31302,	0.000319406
0.09,	0.34,	0.31,	7.88136,	0.10094,	-0.362221,	0.26363,	1.84086e-07
0.09,	0.35,	0.31,	7.9812,	0.0966185,	-0.341831,	0.310007,	0.00415034
0.09,	0.36,	0.31,	7.95345,	0.104943,	-0.34025,	0.280071,	2.34573e-07
0.09,	0.37,	0.31,	8.29023,	0.154057,	-0.241598,	0.248394,	5.29453e-07
0.09,	0.38,	0.31,	7.82442,	0.0957512,	-0.350205,	0.294171,	6.62381e-07
0.09,	0.39,	0.31,	7.27582,	0.071872,	-0.414983,	0.280472,	6.21292e-07
0.09,	0.4,	0.31,	7.76487,	0.0916282,	-0.324908,	0.332318,	1.14419e-07
0.09,	0.41,	0.31,	8.74989,	0.167425,	-0.242014,	0.242014,	1.20089e-08
0.09,	0.42,	0.31,	7.94134,	0.103552,	-0.292162,	0.333261,	3.71133e-07
0.09,	0.43,	0.31,	8,	0.09,	-0.43,	0.31,	0.692739
0.09,	0.44,	0.31,	8,	0.09,	-0.44,	0.31,	0.748528
0.09,	0.45,	0.31,	8,	0.09,	-0.45,	0.31,	0.79861
0.09,	0.46,	0.31,	8,	0.09,	-0.46,	0.31,	0.843341
0.09,	0.47,	0.31,	10.4663,	-0.955497,	-1.32713,	2.6479,	0
0.09,	0.48,	0.31,	8,	0.09,	-0.48,	0.31,	0.91633
0.09,	0.49,	0.31,	2.57139,	1.62483,	2.91942,	-1.4006,	0
0.09,	0.05,	0.32,	7.97597,	0.105864,	-0.306647,	0.314106,	4.78076e-07
0.09,	0.06,	0.32,	10.7459,	0.133795,	-0.235648,	0.235648,	1.43083e-08
0.09,	0.07,	0.32,	2.34544,	0.0280573,	-0.225527,	0.225527,	5.16634e-08
0.09,	0.08,	0.32,	6.88591,	0.0835638,	-0.229103,	0.229103,	1.33554e-08
0.09,	0.09,	0.32,	2.06846,	0.024734,	-0.225427,	0.225427,	3.9814e-09
0.09,	0.1,	0.32,	9.1613,	0.112673,	-0.232488,	0.232488,	4.78061e-08
0.09,	0.11,	0.32,	6.5047,	0.0787955,	-0.228651,	0.228651,	5.27759e-07
0.09,	0.12,	0.32,	8.89888,	0.10925,	-0.232033,	0.232033,	3.25623e-07
0.09,	0.13,	0.32,	8.65572,	0.106096,	-0.231627,	0.231627,	4.66839e-08
0.09,	0.14,	0.32,	8.45357,	0.103485,	-0.231301,	0.231302,	1.10301e-07
0.09,	0.15,	0.32,	7.84954,	0.0957445,	-0.230387,	0.230387,	1.29585e-07
0.09,	0.16,	0.32,	6.77814,	0.082213,	-0.228972,	0.228972,	2.13279e-07
0.09,	0.17,	0.32,	7.696,	0.0937905,	-0.230169,	0.230169,	1.2705e-07
0.09,	0.18,	0.32,	8.18493,	0.100032,	-0.230884,	0.230884,	4.33149e-07
0.09,	0.19,	0.32,	8.06846,	0.0985398,	-0.230709,	0.230709,	1.86277e-07
0.09,	0.2,	0.32,	8.03118,	0.0980631,	-0.230653,	0.230653,	3.18953e-08
0.09,	0.21,	0.32,	8,	0.09,	-0.21,	0.32,	0.602071
0.09,	0.22,	0.32,	2.00299,	1.6338,	1.35358,	-4.128,	0
0.09,	0.23,	0.32,	8,	0.09,	-0.23,	0.32,	0.759342
0.09,	0.24,	0.32,	8,	0.09,	-0.24,	0.32,	0.784695
0.09,	0.25,	0.32,	8,	0.09,	-0.25,	0.32,	0.783606
0.09,	0.26,	0.32,	8,	0.09,	-0.26,	0.32,	0.766554
0.09,	0.27,	0.32,	8.13866,	0.122276,	-0.309072,	0.267626,	4.88679e-07
0.09,	0.28,	0.32,	8.43312,	0.160462,	-0.240568,	0.240601,	1.68227e-06
0.09,	0.29,	0.32,	8.48219,	0.161548,	-0.240775,	0.240775,	5.50676e-08
0.09,	0.3,	0.32,	8,	0.09,	-0.3,	0.32,	0.603047
0.09,	0.31,	0.32,	8,	0.09,	-0.31,	0.32,	0.539709
0.09,	0.32,	0.32,	7.7567,	0.0879382,	-0.342824,	0.327151,	0.00183807
0.09,	0.33,	0.32,	7.88695,	0.101024,	-0.358942,	0.267824,	1.42823e-07
0.09,	0.34,	0.32,	7.43867,	0.0760807,	-0.339622,	0.357511,	2.36928e-05
0.09,	0.35,	0.32,	7.95899,	0.107527,	-0.357592,	0.249347,	1.68531e-07
0.09,	0.36,	0.32,	7.52696,	0.080085,	-0.316044,	0.368944,	9.4309e-07
0.09,	0.37,	0.32,	7.72842,	0.0895759,	-0.333219,	0.329296,	3.747e-07
0.09,	0.38,	0.32,	7.23799,	0.0705277,	-0.416601,	0.282476,	5.56899e-07
0.09,	0.39,	0.32,	7.6102,	0.0835617,	-0.332117,	0.345729,	3.80491e-07
0.09,	0.4,	0.32,	8.2356,	0.137845,	-0.290014,	0.244207,	4.4264e-08
0.09,	0.41,	0.32,	8.25032,	0.160523,	-0.269596,	0.192173,	1.78126e-07
0.09,	0.42,	0.32,	8,	0.09,	-0.42,	0.32,	0.68442
0.09,	0.43,	0.32,	8,	0.09,	-0.43,	0.32,	0.740854
0.09,	0.44,	0.32,	8,	0.09,	-0.44,	0.32,	0.791525
0.09,	0.45,	0.32,	7.97337,	0.150619,	-0.238618,	0.238619,	5.57623e-08
0.09,	0.46,	0.32,	9.81577,	-0.71085,	-0.91401,	2.26469,	0
0.09,	0.47,	0.32,	8,	0.09,	-0.47,	0.32,	0.910744
0.09,	0.48,	0.32,	2.20273,	1.7626,	3.09103,	-1.68862,	0
0.09,	0.49,	0.32,	3.84806,	1.41056,	2.65801,	-1.00584,	0
0.09,	0.05,	0.33,	9.94672,	0.123038,	-0.233962,	0.233962,	4.12854e-08
0.09,	0.06,	0.33,	10.1427,	0.125655,	-0.234357,	0.234357,	1.04323e-07
0.09,	0.07,	0.33,	2.00217,	0.0239391,	-0.225405,	0.225405,	1.69045e-08
0.09,	0.08,	0.33,	54.2447,	0.619325,	-0.733937,	0.364888,	0
0.09,	0.09,	0.33,	2.01498,	0.0240927,	-0.225409,	0.225409,	1.91393e-07
0.09,	0.1,	0.33,	2.5918,	0.0310169,	-0.225626,	0.225626,	2.16081e-07
0.09,	0.11,	0.33,	9.32332,	0.114796,	-0.232778,	0.232778,	1.35991e-07
0.09,	0.12,	0.33,	8.00466,	0.0977241,	-0.230614,	0.230614,	2.30354e-07
0.09,	0.13,	0.33,	7.83423,	0.0955495,	-0.230365,	0.230365,	1.56632e-08
0.09,	0.14,	0.33,	7.90284,	0.096424,	-0.230465,	0.230465,	9.82771e-08
0.09,	0.15,	0.33,	6.2366,	0.0754575,	-0.228351,	0.228351,	3.31076e-07
0.09,	0.16,	0.33,	8.15679,	0.0996709,	-0.230841,	0.230841,	1.39028e-08
0.09,	0.17,	0.33,	8.28071,	0.101261,	-0.231031,	0.231031,	2.39509e-07
0.09,	0.18,	0.33,	8.28627,	0.101332,	-0.231039,	0.231039,	4.69838e-08
0.09,	0.19,	0.33,	8,	0.09,	-0.19,	0.33,	0.557715
0.09,	0.2,	0.33,	11.0177,	-0.692509,	-1.22486,	2.44559,	0
0.09,	0.21,	0.33,	6.02372,	0.639715,	0.435806,	-1.17783,	0
0.09,	0.22,	0.33,	8,	0.09,	-0.22,	0.33,	0.780708
0.09,	0.23,	0.33,	8,	0.09,	-0.23,	0.33,	0.793021
0.09,	0.24,	0.33,	8,	0.09,	-0.24,	0.33,	0.784109
0.09,	0.25,	0.33,	8,	0.09,	-0.25,	0.33,	0.762385
0.09,	0.26,	0.33,	8.16709,	0.128266,	-0.240135,	0.316641,	1.6533e-07
0.09,	0.27,	0.33,	8.28409,	0.152781,	-0.231338,	0.26138,	2.06874e-07
0.09,	0.28,	0.33,	8.03273,	0.155045,	-0.309112,	0.125119,	6.24875e-08
0.09,	0.29,	0.33,	8,	0.09,	-0.29,	0.33,	0.595215
0.09,	0.3,	0.33,	7.11025,	0.192114,	-0.142241,	0.102902,	1.21454e-06
0.09,	0.31,	0.33,	7.96909,	0.105603,	-0.327831,	0.292669,	2.49102e-07
0.09,	0.32,	0.33,	7.91789,	0.102521,	-0.347765,	0.277816,	1.54138e-07
0.09,	0.33,	0.33,	7.96631,	0.105195,	-0.300354,	0.321802,	2.08214e-07
0.09,	0.34,	0.33,	7.98348,	0.107319,	-0.336307,	0.278047,	6.77876e-07
0.09,	0.35,	0.33,	7.98483,	0.108336,	-0.263398,	0.345574,	3.45313e-07
0.09,	0.36,	0.33,	7.64294,	0.0852055,	-0.32459,	0.348743,	5.03805e-07
0.09,	0.37,	0.33,	7.19804,	0.0694087,	-0.421512,	0.278766,	7.64587e-07
0.09,	0.38,	0.33,	7.6295,	0.0846319,	-0.319663,	0.354692,	7.67377e-07
0.09,	0.39,	0.33,	8.53916,	0.162791,	-0.241034,	0.241033,	1.7105e-07
0.09,	0.4,	0.33,	9.41095,	0.182372,	-0.245419,	0.245419,	2.93255e-08
0.09,	0.41,	0.33,	8,	0.09,	-0.41,	0.33,	0.678095
0.09,	0.42,	0.33,	8,	0.09,	-0.42,	0.33,	0.734918
0.09,	0.43,	0.33,	8,	0.09,	-0.43,	0.33,	0.785953
0.09,	0.44,	0.33,	8,	0.09,	-0.44,	0.33,	0.831552
0.09,	0.45,	0.33,	9.45417,	-0.569483,	-0.666703,	2.04303,	0
0.09,	0.46,	0.33,	8,	0.09,	-0.46,	0.33,	0.906066
0.09,	0.47,	0.33,	8,	0.09,	-0.47,	0.33,	0.934635
0.09,	0.48,	0.33,	3.82508,	1.45417,	2.68351,	-1.13268,	0
0.09,	0.49,	0.33,	4.9171,	1.42208,	2.75979,	-0.958824,	0
0.09,	0.05,	0.34,	12.5977,	0.159729,	-0.240404,	0.240404,	1.31353e-08
0.09,	0.06,	0.34,	8.92219,	0.109553,	-0.232072,	0.232072,	2.30021e-07
0.09,	0.07,	0.34,	8.35166,	0.102173,	-0.231141,	0.231141,	2.38809e-08
0.09,	0.08,	0.34,	7.84054,	0.0956298,	-0.230374,	0.230374,	5.9879e-08
0.09,	0.09,	0.34,	8.0701,	0.0985608,	-0.230711,	0.230711,	2.50012e-07
0.09,	0.1,	0.34,	6.10042,	0.0737666,	-0.228205,	0.228205,	7.00667e-08
0.09,	0.11,	0.34,	7.92294,	0.0966805,	-0.230494,	0.230494,	5.15327e-08
0.09,	0.12,	0.34,	7.89285,	0.0962967,	-0.23045,	0.23045,	1.18268e-07
0.09,	0.13,	0.34,	2.66424,	0.0479739,	-0.226392,	0.226392,	3.80871e-08
0.09,	0.14,	0.34,	8.2242,	0.100535,	-0.230944,	0.230944,	7.54529e-08
0.09,	0.15,	0.34,	8.31701,	0.101727,	-0.231087,	0.231087,	1.42732e-07
0.09,	0.16,	0.34,	7.39201,	0.089937,	-0.229752,	0.229752,	1.6093e-07
0.09,	0.17,	0.34,	8,	0.09,	-0.17,	0.34,	0.537046
0.09,	0.18,	0.34,	8,	0.09,	-0.18,	0.34,	0.627135
0.09,	0.19,	0.34,	4.62308,	1.03959,	0.995053,	-2.24316,	0
0.09,	0.2,	0.34,	8,	0.09,	-0.2,	0.34,	0.772616
0.09,	0.21,	0.34,	8,	0.09,	-0.21,	0.34,	0.798049
0.09,	0.22,	0.34,	8,	0.09,	-0.22,	0.34,	0.797068
0.09,	0.23,	0.34,	8,	0.09,	-0.23,	0.34,	0.780539
0.09,	0.24,	0.34,	8,	0.09,	-0.24,	0.34,	0.754415
0.09,	0.25,	0.34,	9.18422,	0.17717,	-0.244191,	0.244191,	3.51823e-08
0.09,	0.26,	0.34,	8.33574,	0.158366,	-0.240105,	0.240171,	5.22652e-07
0.09,	0.27,	0.34,	8.182,	0.160957,	-0.284018,	0.162544,	9.01644e-08
0.09,	0.28,	0.34,	8,	0.09,	-0.28,	0.34,	0.584116
0.09,	0.29,	0.34,	6.0642,	0.169536,	-0.0873347,	0.109995,	6.5004e-07
0.09,	0.3,	0.34,	7.44945,	0.18431,	-0.214792,	0.0741722,	7.24536e-07
0.09,	0.31,	0.34,	8.08973,	0.120791,	-0.231611,	0.339858,	8.7731e-08
0.09,	0.32,	0.34,	7.95133,	0.10393,	-0.314645,	0.311107,	2.53767e-07
0.09,	0.33,	0.34,	7.95414,	0.104167,	-0.307391,	0.31768,	3.91266e-07
0.09,	0.34,	0.34,	7.99191,	0.10835,	-0.271453,	0.339254,	5.66171e-08
0.09,	0.35,	0.34,	6.32523,	0.0496169,	-0.256517,	0.475521,	1.03542e-06
0.09,	0.36,	0.34,	7.19828,	0.0693643,	-0.420873,	0.279895,	1.83797e-06
0.09,	0.37,	0.34,	8.36944,	0.1591,	-0.240276,	0.240278,	4.97195e-07
0.09,	0.38,	0.34,	8.13954,	0.132228,	-0.200822,	0.33277,	1.09928e-07
0.09,	0.39,	0.34,	8.63454,	0.164881,	-0.241471,	0.241472,	7.96863e-08
0.09,	0.4,	0.34,	8,	0.09,	-0.4,	0.34,	0.673878
0.09,	0.41,	0.34,	8,	0.09,	-0.41,	0.34,	0.730818
0.09,	0.42,	0.34,	8,	0.09,	-0.42,	0.34,	0.78198
0.09,	0.43,	0.34,	8,	0.09,	-0.43,	0.34,	0.827689
0.09,	0.44,	0.34,	8,	0.09,	-0.44,	0.34,	0.867881
0.09,	0.45,	0.34,	53.9915,	-13.9912,	-20.545,	25.1674,	0
0.09,	0.46,	0.34,	8,	0.09,	-0.46,	0.34,	0.931003
0.09,	0.47,	0.34,	3.79648,	1.4926,	2.7,	-1.24997,	0
0.09,	0.48,	0.34,	4.99442,	1.43892,	2.73785,	-1.04252,	0
0.09,	0.49,	0.34,	6.23066,	1.52994,	3.00776,	-1.05816,	0
0.09,	0.05,	0.35,	4.81077,	0.0578908,	-0.226995,	0.226995,	3.44209e-07
0.09,	0.06,	0.35,	6.42679,	0.0778242,	-0.228563,	0.228563,	1.2251e-07
0.09,	0.07,	0.35,	7.77084,	0.0947424,	-0.230275,	0.230275,	5.04484e-07
0.09,	0.08,	0.35,	7.91805,	0.0966181,	-0.230487,	0.230487,	1.23285e-08
0.09,	0.09,	0.35,	7.91779,	0.0966148,	-0.230486,	0.230486,	1.20641e-08
0.09,	0.1,	0.35,	2.03721,	0.0366019,	-0.225841,	0.225842,	5.84146e-07
0.09,	0.11,	0.35,	8.03599,	0.0981245,	-0.23066,	0.23066,	3.50133e-08
0.09,	0.12,	0.35,	8.04522,	0.0982426,	-0.230674,	0.230674,	3.46516e-08
0.09,	0.13,	0.35,	8.08061,	0.0986953,	-0.230727,	0.230727,	2.30492e-08
0.09,	0.14,	0.35,	8,	0.09,	-0.14,	0.35,	0.469846
0.09,	0.15,	0.35,	8,	0.09,	-0.15,	0.35,	0.542032
0.09,	0.16,	0.35,	10.7831,	-0.637352,	-1.45839,	2.18916,	0
0.09,	0.17,	0.35,	4.33004,	1.14841,	1.2779,	-2.48781,	0
0.09,	0.18,	0.35,	8,	0.09,	-0.18,	0.35,	0.768461
0.09,	0.19,	0.35,	8,	0.09,	-0.19,	0.35,	0.802338
0.09,	0.2,	0.35,	8,	0.09,	-0.2,	0.35,	0.807427
0.09,	0.21,	0.35,	8,	0.09,	-0.21,	0.35,	0.794665
0.09,	0.22,	0.35,	8,	0.09,	-0.22,	0.35,	0.771639
0.09,	0.23,	0.35,	8,	0.09,	-0.23,	0.35,	0.741966
0.09,	0.24,	0.35,	8.25042,	0.142624,	-0.23249,	0.287309,	1.82773e-07
0.09,	0.25,	0.35,	8.55097,	0.163049,	-0.241085,	0.241087,	2.94606e-07
0.09,	0.26,	0.35,	8.1189,	0.174728,	-0.253852,	0.146108,	7.45668e-08
0.09,	0.27,	0.35,	8,	0.09,	-0.27,	0.35,	0.569595
0.09,	0.28,	0.35,	8,	0.09,	-0.28,	0.35,	0.508587
0.09,	0.29,	0.35,	7.87259,	0.105263,	-0.383385,	0.214798,	4.16597e-07
0.09,	0.3,	0.35,	8.0321,	0.121869,	-0.193482,	0.359071,	4.59817e-07
0.09,	0.31,	0.35,	7.94916,	0.103762,	-0.313461,	0.312731,	2.90756e-07
0.09,	0.32,	0.35,	7.98302,	0.108771,	-0.256056,	0.350041,	4.37825e-07
0.09,	0.33,	0.35,	20.5537,	0.63007,	0.367674,	-0.141546,	0
0.09,	0.34,	0.35,	6.21464,	0.0493209,	-0.220302,	0.491269,	2.21915e-07
0.09,	0.35,	0.35,	7.31046,	0.073133,	-0.413304,	0.278836,	7.71922e-07
0.09,	0.36,	0.35,	8.50076,	0.161953,	-0.24086,	0.240859,	2.87273e-07
0.09,	0.37,	0.35,	8.13893,	0.139587,	-0.17744,	0.327865,	5.16511e-07
0.09,	0.38,	0.35,	8.28118,	0.164527,	-0.217366,	0.239531,	2.55583e-07
0.09,	0.39,	0.35,	8,	0.09,	-0.39,	0.35,	0.671865
0.09,	0.4,	0.35,	8,	0.09,	-0.4,	0.35,	0.728636
0.09,	0.41,	0.35,	8,	0.09,	-0.41,	0.35,	0.779674
0.09,	0.42,	0.35,	8,	0.09,	-0.42,	0.35,	0.825258
0.09,	0.43,	0.35,	8,	0.09,	-0.43,	0.35,	0.865309
0.09,	0.44,	0.35,	35.419,	-8.156,	-11.5677,	15.3952,	0
0.09,	0.45,	0.35,	8,	0.09,	-0.45,	0.35,	0.928177
0.09,	0.46,	0.35,	3.7684,	1.5227,	2.70257,	-1.35236,	0
0.09,	0.47,	0.35,	5.05659,	1.45277,	2.71226,	-1.1186,	0
0.09,	0.48,	0.35,	6.32646,	1.53102,	2.95132,	-1.12127,	0
0.09,	0.49,	0.35,	7.901,	1.689,	3.31552,	-1.24019,	0
0.09,	0.05,	0.36,	2.02466,	0.0242088,	-0.225412,	0.225412,	7.09328e-08
