0   3.82511   0.279566 
0   3.82511   0.279566 
0.02   3.83266   0.275807 
0.02   3.83266   0.275807 
0.04   3.83493   0.272473 
0.04   3.83493   0.272473 
0.06   3.83226   0.269548 
0.06   3.83226   0.269548 
0.08   3.82502   0.267002 
0.08   3.82502   0.267002 
0.1   3.81359   0.264789 
0.1   3.81359   0.264789 
0.12   3.79837   0.262848 
0.12   3.79837   0.262848 
0.14   3.77974   0.261095 
0.14   3.77974   0.261095 
0.16   3.75807   0.259432 
0.16   3.75807   0.259432 
0.18   3.73369   0.257738 
0.18   3.73369   0.257738 
0.2   3.70692   0.255878 
0.2   3.70692   0.255878 
0.22   3.67801   0.253704 
0.22   3.67801   0.253704 
0.24   135.058   137.619 
0.24   135.058   137.619 
0.26   183.107   185.669 
0.26   183.107   185.669 
0.28   254.461   257.024 
0.28   254.461   257.024 
0.3   363.932   366.497 
0.3   363.932   366.497 
0.32   538.327   540.894 
0.32   538.327   540.894 
0.34   828.557   831.126 
0.34   828.557   831.126 
0.36   1336.68   1339.25 
0.36   1336.68   1339.25 
0.38   2279.66   2282.23 
0.38   2279.66   2282.23 
0.4   4146.48   4149.05 
0.4   4146.48   4149.05 
0.42   8087.75   8090.33 
0.42   8087.75   8090.33 
0.44   16753.6   16756.2 
0.44   16753.6   16756.2 
0.46   34802   34804.5 
0.46   34802   34804.5 
0.48   61415   61417.6 
0.48   61415   61417.6 
0.5   70652.9   70655.5 
0.5   70652.9   70655.5 
0.52   48226.8   48229.4 
0.52   48226.8   48229.4 
0.54   24243.8   24246.4 
0.54   24243.8   24246.4 
0.56   11360   11362.6 
0.56   11360   11362.6 
0.58   5529.2   5531.8 
0.58   5529.2   5531.8 
0.6   2878.88   2881.49 
0.6   2878.88   2881.49 
0.62   1603.9   1606.51 
0.62   1603.9   1606.51 
0.64   948.606   951.218 
0.64   948.606   951.218 
0.66   2.35967   -0.0445101 
0.66   2.35967   -0.0445101 
0.68   383.199   385.818 
0.68   383.199   385.818 
0.7   2.04966   -0.0831033 
0.7   2.04966   -0.0831033 
0.72   1.84686   -0.101089 
0.72   1.84686   -0.101089 
0.74   1.57596   -0.117948 
0.74   1.57596   -0.117948 
0.76   1.10203   -0.133448 
0.76   1.10203   -0.133448 
0.78   3.68176   -0.147777 
0.78   3.68176   -0.147777 
0.8   2.70863   -0.161257 
0.8   2.70863   -0.161257 
0.82   2.35821   -0.172983 
0.82   2.35821   -0.172983 
0.84   2.13048   -0.182878 
0.84   2.13048   -0.182878 
0.86   24.1866   26.1705 
0.86   24.1866   26.1705 
0.88   1.85226   -0.196478 
0.88   1.85226   -0.196478 
0.9   1.7993   -0.199735 
0.9   1.7993   -0.199735 
0.92   1.81483   -0.200242 
0.92   1.81483   -0.200242 
0.94   1.89709   -0.197607 
0.94   1.89709   -0.197607 
0.96   4.38948   12.3117 
0.96   4.38948   12.3117 
0.98   2.18837   -0.180727 
0.98   2.18837   -0.180727 
1   2.38205   -0.164952 
1   2.38205   -0.164952 
1.02   1.59905   -0.142957 
1.02   1.59905   -0.142957 
1.04   1.97661   -0.113465 
1.04   1.97661   -0.113465 
1.06   2.00271   -0.0733689 
1.06   2.00271   -0.0733689 
1.08   1.87977   -0.0195653 
1.08   1.87977   -0.0195653 
1.1   1.63721   0.0532608 
1.1   1.63721   0.0532608 
1.12   1.29831   0.154872 
1.12   1.29831   0.154872 
1.14   0.892088   0.306665 
1.14   0.892088   0.306665 
1.16   0.450531   0.572785 
1.16   0.450531   0.572785 
1.18   -0.00111125   1.3925 
1.18   -0.00111125   1.3925 
1.2   -0.432143   1.18528 
1.2   -0.432143   1.18528 
1.22   -0.759396   7.13901 
1.22   -0.759396   7.13901 
1.24   -0.992546   3.0615 
1.24   -0.992546   3.0615 
1.26   -1.14916   1.66415 
1.26   -1.14916   1.66415 
1.28   -1.24643   1.74257 
1.28   -1.24643   1.74257 
1.3   -1.29933   3.96999 
1.3   -1.29933   3.96999 
1.32   -1.31991   2.15018 
1.32   -1.31991   2.15018 
1.34   -1.31748   2.08101 
1.34   -1.31748   2.08101 
1.36   -1.29901   2.56233 
1.36   -1.29901   2.56233 
1.38   -1.26944   1.09433 
1.38   -1.26944   1.09433 
1.4   -1.23263   1.02561 
1.4   -1.23263   1.02561 
1.42   -1.19121   5.54669 
1.42   -1.19121   5.54669 
1.44   -1.14718   2.43521 
1.44   -1.14718   2.43521 
1.46   -1.10208   1.32893 
1.46   -1.10208   1.32893 
1.48   -1.05701   0.669259 
1.48   -1.05701   0.669259 
1.5   -1.01271   9.40199 
1.5   -1.01271   9.40199 
1.52   -0.969732   4.06984 
1.52   -0.969732   4.06984 
1.54   -0.928624   3.36198 
1.54   -0.928624   3.36198 
1.56   -0.889652   3.53979 
1.56   -0.889652   3.53979 
1.58   -0.853008   4.95874 
1.58   -0.853008   4.95874 
1.6   -0.818813   1.52542 
1.6   -0.818813   1.52542 
1.62   -0.786785   0.893772 
1.62   -0.786785   0.893772 
1.64   -0.757173   2.26757 
1.64   -0.757173   2.26757 
1.66   -0.730032   8.95435 
1.66   -0.730032   8.95435 
1.68   -0.704701   1.42457 
1.68   -0.704701   1.42457 
1.7   -0.681614   5.29116 
1.7   -0.681614   5.29116 
1.72   -0.660173   1.57523 
1.72   -0.660173   1.57523 
1.74   -0.640756   6.81803 
1.74   -0.640756   6.81803 
1.76   -0.622401   2.59274 
1.76   -0.622401   2.59274 
1.78   -0.605725   0.97455 
1.78   -0.605725   0.97455 
1.8   -0.590409   6.80733 
1.8   -0.590409   6.80733 
