1 958 2.63575 2.55557 5.19132
2 4086 2.06649 1.98087 4.04735
3 4259 1.77186 1.7717 3.54356
4 7932 1.58947 1.57476 3.16423
5 12202 1.4746 1.45118 2.92577

8 15102 1.24555 1.2547 2.50026
9 14608 1.18768 1.20859 2.39628
10 14979 1.14492 1.17002 2.31494

16 10164 0.996866 1.03995 2.03682
17 9648 0.965813 1.01872 1.98453
18 10599 0.962213 1.0016 1.96381

23 10344 0.882658 0.955286 1.83794
24 8382 0.874604 0.940685 1.81529

29 8545 0.827659 0.912857 1.74052
30 11449 0.823933 0.90166 1.72559

35 8325 0.785985 0.882402 1.66839
36 8087 0.774798 0.872106 1.6469

41 9347 0.753762 0.859549 1.61331
42 8328 0.739504 0.849704 1.58921

47 8747 0.726721 0.841236 1.56796
48 10922 0.721227 0.831909 1.55314
