-1.5 982.554
-1.4 976.463
-1.3 972.056
-1.2 968.846
-1.1 965.752
-1 962.741
-0.9 960.776
-0.8 958.63
-0.7 956.897
-0.6 954.942
-0.5 954.362
-0.4 953.06
-0.3 952.19
-0.2 951.077
-0.1 950.329
0 950.841
0.1 950.074
0.2 949.643
0.3 949.206
0.4 949.281
0.5 948.888
0.6 949.001
0.7 949.161
0.8 949.485
0.9 949.763
1 950.711
1.1 951.73
1.2 953.325
1.3 955.818
1.4 959.328
1.5 966.413
-1.5 989.526
-1.4 981.76
-1.3 977.326
-1.2 973.211
-1.1 970.576
-1 968.854
-0.9 967.091
-0.8 965.672
-0.7 964.719
-0.6 964.268
-0.5 963.488
-0.4 962.999
-0.3 962.698
-0.2 962.491
-0.1 962.584
0 962.262
0.1 962.526
0.2 962.325
0.3 962.895
0.4 963.532
0.5 963.936
0.6 964.074
0.7 965.615
0.8 966.207
0.9 967.389
1 968.898
1.1 970.888
1.2 972.74
1.3 975.88
1.4 979.394
1.5 985.345
-1.5 994.147
-1.4 988.879
-1.3 985.319
-1.2 982.456
-1.1 980.463
-1 978.923
-0.9 977.276
-0.8 976.839
-0.7 975.988
-0.6 975.668
-0.5 975.266
-0.4 975.209
-0.3 975.272
-0.2 974.496
-0.1 974.375
0 974.221
0.1 974.375
0.2 974.496
0.3 975.272
0.4 975.209
0.5 975.266
0.6 975.668
0.7 975.988
0.8 976.839
0.9 977.276
1 978.923
1.1 980.463
1.2 982.456
1.3 985.319
1.4 988.879
1.5 994.147
